name,position,team,obp,hr,hr_rate,games_this_week,expected_starts,weekly_score
Ramón Urías,3B,St. Louis Cardinals,0.279,2,0.029,7,6.0,0.3011
Nick Yorke,3B,Pittsburgh Pirates,0.308,1,0.013,6,5.0,0.3008
Michael Massey,2B,Kansas City Royals,0.238,1,0.016,7,6.0,0.3007
Mauricio Dubón,SS,Atlanta Braves,0.32,2,0.016,6,5.0,0.3002
Max Muncy,3B,Athletics,0.308,2,0.019,6,5.0,0.3001
Mitch Garver,C,Seattle Mariners,0.347,0,0.0,6,3.5999999999999996,0.2994
Carter Jensen,C,Kansas City Royals,0.315,6,0.054,7,4.2,0.2992
Freddie Freeman,1B,Los Angeles Dodgers,0.329,3,0.021,6,5.0,0.2982
Alec Bohm,3B,Philadelphia Phillies,0.229,1,0.008,7,6.0,0.2978
Bo Bichette,3B,New York Mets,0.274,2,0.014,6,5.0,0.2976
Pedro Pagés,C,St. Louis Cardinals,0.295,3,0.038,7,4.2,0.2974
Luke Keaschall,2B,Minnesota Twins,0.28,1,0.007,6,5.0,0.297
Ketel Marte,2B,Arizona Diamondbacks,0.274,5,0.037,6,5.0,0.2965
Juan Brito,2B,Cleveland Guardians,0.25,0,0.0,7,6.0,0.2964
Zach Neto,SS,Los Angeles Angels,0.338,5,0.031,6,5.0,0.2962
Austin Wells,C,New York Yankees,0.33,3,0.032,7,4.2,0.2956
Nolan Schanuel,1B,Los Angeles Angels,0.296,3,0.022,6,5.0,0.2945
Ke'Bryan Hayes,3B,Cincinnati Reds,0.178,1,0.011,7,6.0,0.2897
William Contreras,C,Milwaukee Brewers,0.37,3,0.022,6,3.5999999999999996,0.289
J.T. Realmuto,C,Philadelphia Phillies,0.324,1,0.015,7,4.2,0.2865
Andrés Giménez,SS,Toronto Blue Jays,0.288,3,0.025,6,5.0,0.2829
Miguel Amaya,C,Chicago Cubs,0.355,2,0.032,7,4.2,0.2826
Coby Mayo,3B,Baltimore Orioles,0.234,3,0.032,7,6.0,0.2815
Brett Sullivan,C,Colorado Rockies,0.321,0,0.0,6,3.5999999999999996,0.2814
Luis Rengifo,3B,Milwaukee Brewers,0.252,0,0.0,6,5.0,0.2814
Carlos Narváez,C,Boston Red Sox,0.26,2,0.027,7,4.2,0.2801
Hunter Goodman,C,Colorado Rockies,0.321,9,0.069,6,3.5999999999999996,0.2791
Jorbit Vivas,3B,Washington Nationals,0.35,0,0.0,6,5.0,0.2769
Salvador Perez,C,Kansas City Royals,0.244,5,0.037,7,4.2,0.2761
Blaze Alexander,3B,Baltimore Orioles,0.256,0,0.0,7,6.0,0.2729
Luis García Jr.,1B,Washington Nationals,0.259,1,0.009,6,5.0,0.2726
Jose Altuve,2B,Houston Astros,0.34,3,0.021,6,5.0,0.2707
Adam Frazier,2B,Los Angeles Angels,0.339,1,0.016,6,5.0,0.2702
Marcus Semien,2B,New York Mets,0.273,1,0.008,6,5.0,0.2698
Lenyn Sosa,2B,Toronto Blue Jays,0.237,1,0.013,6,5.0,0.2693
Austin Riley,3B,Atlanta Braves,0.283,4,0.028,6,5.0,0.2693
Jake Burger,1B,Texas Rangers,0.255,6,0.044,6,5.0,0.2686
Leo Rivas,3B,Seattle Mariners,0.274,0,0.0,6,5.0,0.2684
Logan O'Hoppe,C,Los Angeles Angels,0.323,1,0.011,6,3.5999999999999996,0.2677
Cal Raleigh,C,Seattle Mariners,0.272,7,0.048,6,3.5999999999999996,0.2673
Joey Ortiz,SS,Milwaukee Brewers,0.259,0,0.0,6,5.0,0.2669
Tyler Stephenson,C,Cincinnati Reds,0.29,2,0.022,7,4.2,0.2641
Rafael Devers,1B,San Francisco Giants,0.257,2,0.014,6,5.0,0.2626
Yainer Diaz,C,Houston Astros,0.264,2,0.019,6,3.5999999999999996,0.2611
Gabriel Moreno,C,Arizona Diamondbacks,0.302,1,0.019,6,3.5999999999999996,0.2596
Ezequiel Tovar,SS,Colorado Rockies,0.254,1,0.008,6,5.0,0.2588
Dillon Dingler,C,Detroit Tigers,0.33,6,0.054,6,3.5999999999999996,0.2581
Danny Jansen,C,Texas Rangers,0.284,2,0.025,6,3.5999999999999996,0.2559
Royce Lewis,3B,Minnesota Twins,0.274,3,0.036,6,5.0,0.2547
Will Smith,C,Los Angeles Dodgers,0.336,3,0.028,6,3.5999999999999996,0.2533
Javier Báez,SS,Detroit Tigers,0.28,2,0.024,6,5.0,0.2511
Brandon Valenzuela,C,Toronto Blue Jays,0.255,3,0.064,6,3.5999999999999996,0.2496
Freddy Fermin,C,San Diego Padres,0.29,0,0.0,7,4.2,0.2495
Edgar Quero,C,Chicago White Sox,0.271,0,0.0,6,3.5999999999999996,0.2449
Santiago Espinal,2B,Los Angeles Dodgers,0.2,0,0.0,6,5.0,0.2429
Joey Bart,C,Pittsburgh Pirates,0.255,1,0.021,6,3.5999999999999996,0.2367
Victor Caratini,C,Minnesota Twins,0.317,1,0.01,6,3.5999999999999996,0.2294
Francisco Alvarez,C,New York Mets,0.305,4,0.038,6,3.5999999999999996,0.2288
Nick Fortes,C,Tampa Bay Rays,0.303,1,0.011,7,4.2,0.2283
Willy Adames,SS,San Francisco Giants,0.236,3,0.021,6,5.0,0.2257
Patrick Bailey,C,San Francisco Giants,0.221,1,0.012,6,3.5999999999999996,0.223
Henry Davis,C,Pittsburgh Pirates,0.253,2,0.024,6,3.5999999999999996,0.2151
Adrian Del Castillo,C,Arizona Diamondbacks,0.246,2,0.031,6,3.5999999999999996,0.2097
Rafael Marchán,C,Philadelphia Phillies,0.13,1,0.019,7,4.2,0.2092
Bo Naylor,C,Cleveland Guardians,0.192,1,0.013,7,4.2,0.2039
James McCann,C,Arizona Diamondbacks,0.196,0,0.0,6,3.5999999999999996,0.2009
Keibert Ruiz,C,Washington Nationals,0.215,1,0.015,6,3.5999999999999996,0.1934
Drew Millas,C,Washington Nationals,0.22,0,0.0,6,3.5999999999999996,0.1879
Tyler Heineman,C,Toronto Blue Jays,0.222,0,0.0,6,3.5999999999999996,0.1834
